Time_sec,CycleNo,PT01_MPa,T01[Treac]_℃,Date&Time,T03[Troom]_℃
4574.0,1,2.8714,380.9,7/21/2024_9:04:35 PM,24.5
4576.0,1,2.8704,381.0,7/21/2024_9:04:37 PM,24.5
4578.0,1,2.8675,381.1,7/21/2024_9:04:39 PM,24.5
4580.0,1,2.8639,381.2,7/21/2024_9:04:41 PM,24.5
4582.0,1,2.8602,382.4,7/21/2024_9:04:43 PM,24.5
4584.0,1,2.8567,382.5,7/21/2024_9:04:45 PM,24.5
4586.0,1,2.8532,382.6,7/21/2024_9:04:47 PM,24.5
4588.0,1,2.8499,382.8,7/21/2024_9:04:49 PM,24.5
4590.0,1,2.8467,383.9,7/21/2024_9:04:51 PM,24.5
4592.0,1,2.8436,384.0,7/21/2024_9:04:53 PM,24.5
4594.0,1,2.8406,384.2,7/21/2024_9:04:55 PM,24.5
4596.0,1,2.8378,384.3,7/21/2024_9:04:57 PM,24.5
4598.0,1,2.835,385.4,7/21/2024_9:04:59 PM,24.5
4600.0,1,2.8321,385.5,7/21/2024_9:05:01 PM,24.5
4602.0,1,2.8295,385.6,7/21/2024_9:05:03 PM,24.5
4604.0,1,2.827,385.7,7/21/2024_9:05:05 PM,24.5
4606.0,1,2.8246,385.9,7/21/2024_9:05:07 PM,24.5
4608.0,1,2.8222,386.1,7/21/2024_9:05:09 PM,24.5
4610.0,1,2.8199,386.4,7/21/2024_9:05:11 PM,24.5
4612.0,1,2.8174,386.6,7/21/2024_9:05:13 PM,24.5
4614.0,1,2.8152,386.8,7/21/2024_9:05:15 PM,24.5
4616.0,1,2.8131,387.0,7/21/2024_9:05:17 PM,24.5
4618.0,1,2.811,387.2,7/21/2024_9:05:19 PM,24.5
4620.0,1,2.8088,387.4,7/21/2024_9:05:21 PM,24.5
4622.0,1,2.8068,387.6,7/21/2024_9:05:23 PM,24.5
4624.0,1,2.8048,387.7,7/21/2024_9:05:25 PM,24.5
4626.0,1,2.8029,387.9,7/21/2024_9:05:27 PM,24.5
4628.0,1,2.801,388.1,7/21/2024_9:05:29 PM,24.5
4630.0,1,2.799,388.3,7/21/2024_9:05:31 PM,24.5
4632.0,1,2.7972,388.4,7/21/2024_9:05:33 PM,24.5
4634.0,1,2.7954,388.6,7/21/2024_9:05:35 PM,24.5
4636.0,1,2.7937,388.7,7/21/2024_9:05:37 PM,24.5
4638.0,1,2.792,388.8,7/21/2024_9:05:39 PM,24.5
4640.0,1,2.7901,389.0,7/21/2024_9:05:41 PM,24.5
4642.0,1,2.7885,389.1,7/21/2024_9:05:43 PM,24.5
4644.0,1,2.7868,389.2,7/21/2024_9:05:45 PM,24.5
4646.0,1,2.7852,389.2,7/21/2024_9:05:47 PM,24.5
4648.0,1,2.7837,389.4,7/21/2024_9:05:49 PM,24.5
4650.0,1,2.7821,389.4,7/21/2024_9:05:51 PM,24.5
4652.0,1,2.7804,389.5,7/21/2024_9:05:53 PM,24.5
4654.0,1,2.7789,389.6,7/21/2024_9:05:55 PM,24.5
4656.0,1,2.7774,389.6,7/21/2024_9:05:57 PM,24.5
4658.0,1,2.7759,389.7,7/21/2024_9:05:59 PM,24.5
4660.0,1,2.7745,389.8,7/21/2024_9:06:01 PM,24.5
4662.0,1,2.7731,389.8,7/21/2024_9:06:03 PM,24.5
4664.0,1,2.7717,389.9,7/21/2024_9:06:05 PM,24.5
4666.0,1,2.7702,389.9,7/21/2024_9:06:07 PM,24.5
4668.0,1,2.7689,390.0,7/21/2024_9:06:09 PM,24.5
4670.0,1,2.7675,390.1,7/21/2024_9:06:11 PM,24.5
4672.0,1,2.7662,390.1,7/21/2024_9:06:13 PM,24.5
4674.0,1,2.7649,390.1,7/21/2024_9:06:15 PM,24.5
4676.0,1,2.7635,390.2,7/21/2024_9:06:17 PM,24.5
4678.0,1,2.7623,390.2,7/21/2024_9:06:19 PM,24.5
4680.0,1,2.761,390.2,7/21/2024_9:06:21 PM,24.5
4682.0,1,2.7597,390.3,7/21/2024_9:06:23 PM,24.5
4684.0,1,2.7585,390.3,7/21/2024_9:06:25 PM,24.5
4686.0,1,2.7573,390.3,7/21/2024_9:06:27 PM,24.5
4688.0,1,2.7561,390.3,7/21/2024_9:06:29 PM,24.5
4690.0,1,2.7549,390.4,7/21/2024_9:06:31 PM,24.5
4692.0,1,2.7537,390.4,7/21/2024_9:06:33 PM,24.5
4694.0,1,2.7525,390.4,7/21/2024_9:06:35 PM,24.5
4696.0,1,2.7513,390.4,7/21/2024_9:06:37 PM,24.5
4698.0,1,2.7502,390.4,7/21/2024_9:06:39 PM,24.5
4700.0,1,2.7491,390.4,7/21/2024_9:06:41 PM,24.5
4702.0,1,2.7478,390.4,7/21/2024_9:06:43 PM,24.5
4704.0,1,2.7467,390.4,7/21/2024_9:06:45 PM,24.5
4706.0,1,2.7456,390.4,7/21/2024_9:06:47 PM,24.5
4708.0,1,2.7446,390.4,7/21/2024_9:06:49 PM,24.5
4710.0,1,2.7435,390.4,7/21/2024_9:06:51 PM,24.5
4712.0,1,2.7424,390.4,7/21/2024_9:06:53 PM,24.5
4714.0,1,2.7413,390.4,7/21/2024_9:06:55 PM,24.5
4716.0,1,2.7403,390.4,7/21/2024_9:06:57 PM,24.5
4718.0,1,2.7393,390.4,7/21/2024_9:06:59 PM,24.5
4720.0,1,2.7383,390.4,7/21/2024_9:07:01 PM,24.5
4722.0,1,2.7372,390.4,7/21/2024_9:07:03 PM,24.5
4724.0,1,2.7361,390.4,7/21/2024_9:07:05 PM,24.5
4726.0,1,2.7352,390.4,7/21/2024_9:07:07 PM,24.5
4728.0,1,2.7342,390.3,7/21/2024_9:07:09 PM,24.5
4730.0,1,2.7332,390.3,7/21/2024_9:07:11 PM,24.5
4732.0,1,2.7323,390.3,7/21/2024_9:07:13 PM,24.5
4734.0,1,2.7313,390.3,7/21/2024_9:07:15 PM,24.5
4736.0,1,2.7302,390.3,7/21/2024_9:07:17 PM,24.5
4738.0,1,2.7293,390.3,7/21/2024_9:07:19 PM,24.5
4740.0,1,2.7284,390.2,7/21/2024_9:07:21 PM,24.5
4742.0,1,2.7274,390.2,7/21/2024_9:07:23 PM,24.5
4744.0,1,2.7265,390.2,7/21/2024_9:07:25 PM,24.5
4746.0,1,2.7256,390.2,7/21/2024_9:07:27 PM,24.5
4748.0,1,2.7247,390.1,7/21/2024_9:07:29 PM,24.5
4750.0,1,2.7238,390.1,7/21/2024_9:07:31 PM,24.5
4752.0,1,2.7229,390.1,7/21/2024_9:07:33 PM,24.5
4754.0,1,2.722,390.1,7/21/2024_9:07:35 PM,24.5
4756.0,1,2.7211,390.0,7/21/2024_9:07:37 PM,24.5
4758.0,1,2.7202,390.0,7/21/2024_9:07:39 PM,24.5
4760.0,1,2.7194,390.0,7/21/2024_9:07:41 PM,24.5
4762.0,1,2.7185,390.0,7/21/2024_9:07:43 PM,24.5
4764.0,1,2.7177,389.9,7/21/2024_9:07:45 PM,24.5
4766.0,1,2.7168,389.9,7/21/2024_9:07:47 PM,24.5
4768.0,1,2.716,389.9,7/21/2024_9:07:49 PM,24.5
4770.0,1,2.7151,389.9,7/21/2024_9:07:51 PM,24.5
4772.0,1,2.7143,389.8,7/21/2024_9:07:53 PM,24.5
4774.0,1,2.7135,389.8,7/21/2024_9:07:55 PM,24.5
4776.0,1,2.7127,389.8,7/21/2024_9:07:57 PM,24.5
4778.0,1,2.7118,389.7,7/21/2024_9:07:59 PM,24.5
4780.0,1,2.711,389.7,7/21/2024_9:08:01 PM,24.5
4782.0,1,2.7102,389.7,7/21/2024_9:08:03 PM,24.5
4784.0,1,2.7095,389.6,7/21/2024_9:08:05 PM,24.5
4786.0,1,2.7087,389.6,7/21/2024_9:08:07 PM,24.5
4788.0,1,2.7078,389.6,7/21/2024_9:08:09 PM,24.5
4790.0,1,2.7071,389.6,7/21/2024_9:08:11 PM,24.5
4792.0,1,2.7063,389.5,7/21/2024_9:08:13 PM,24.5
4794.0,1,2.7056,389.5,7/21/2024_9:08:15 PM,24.5
4796.0,1,2.7048,389.4,7/21/2024_9:08:17 PM,24.5
4798.0,1,2.7041,389.4,7/21/2024_9:08:19 PM,24.4
4800.0,1,2.7033,389.4,7/21/2024_9:08:21 PM,24.4
4802.0,1,2.7026,389.3,7/21/2024_9:08:23 PM,24.4
4804.0,1,2.7018,389.3,7/21/2024_9:08:25 PM,24.4
4806.0,1,2.7011,389.3,7/21/2024_9:08:27 PM,24.4
